block,trial,label,congruence,correct,rt
1,1,Ich,False,True,1.66254038371
1,2,Stuhl,True,True,1.78829380309
1,3,Stuhl,False,True,1.17377341507
1,4,Ich,False,True,1.32125310829
1,5,Stuhl,True,True,1.54864411237
1,6,Ich,False,True,2.42011627087
1,7,Stuhl,False,True,1.30519455806
1,8,Ich,False,True,1.75629387151
1,9,Ich,True,True,0.906415423528
1,10,Ich,False,True,0.865154019341
2,1,Ich,False,True,0.959989394933
2,2,Stuhl,True,True,1.55091650435
2,3,Ich,False,True,0.882421889199
2,4,Ich,False,True,1.22106474008
2,5,Ich,False,True,0.717787218757
2,6,Ich,True,True,1.85887137295
2,7,Stuhl,True,True,1.07692051118
2,8,Ich,False,True,1.44019491085
2,9,Stuhl,True,True,0.953937237679
2,10,Ich,True,True,0.925002939913
3,1,Stuhl,False,True,1.03828642658
3,2,Ich,True,True,0.984903602943
3,3,Ich,True,True,1.11235810913
3,4,Ich,True,True,0.675585470204
3,5,Ich,False,True,0.92687978003
3,6,Stuhl,True,True,0.925654638327
3,7,Stuhl,False,True,1.02674614765
3,8,Stuhl,True,True,1.56098105414
3,9,Stuhl,False,True,1.36225580018
3,10,Stuhl,False,True,1.63384298943
4,1,Stuhl,True,True,0.979614326247
4,2,Stuhl,True,True,0.814864197426
4,3,Ich,False,True,1.06779288477
4,4,Stuhl,True,True,1.06691625633
4,5,Ich,False,True,1.50317061542
4,6,Stuhl,False,True,0.945113651671
4,7,Ich,False,True,0.910054500632
4,8,Stuhl,True,True,1.1339436948
4,9,Stuhl,False,True,1.36026008069
4,10,Stuhl,True,True,1.5259364423
