subject_nr,type,correct_response,response,acc,congruency,response_time
4,face,y,y,1,0,111.1745
4,face,y,y,1,0,58.3892
4,chair,m,m,1,0,64.3463
4,face,y,y,1,0,39.3203
4,face,y,y,1,1,63.2838
4,face,y,y,1,0,62.6686
4,face,y,y,1,0,30.0008
4,face,y,y,1,0,14.801
4,face,y,y,1,0,23.5507
4,chair,m,m,1,1,52.2137
4,chair,m,y,0,0,20.2495
4,face,y,y,1,0,53.0203
4,chair,m,m,1,0,133.839
4,face,y,y,1,0,98.434
4,face,y,y,1,0,56.5198
4,chair,m,m,1,1,144.5421
4,face,y,m,0,1,132.5639
4,face,y,y,1,1,33.1238
4,chair,m,m,1,0,145.954
4,chair,m,m,1,0,158.6131
4,chair,m,m,1,0,178.0462
4,face,y,y,1,0,141.2868
4,chair,m,m,1,0,209.2408
4,chair,m,m,1,1,211.2056
4,face,y,y,1,0,132.4396
4,face,y,y,1,0,136.5653
4,chair,m,m,1,0,109.297
4,chair,m,m,1,0,243.2929
4,face,y,y,1,0,115.1759
4,chair,m,m,1,0,303.8977
4,face,y,y,1,0,104.2679
4,face,y,y,1,0,222.3043
4,face,y,y,1,1,87.5622
4,chair,m,m,1,0,86.9679
4,chair,m,m,1,0,429.6037
4,face,y,y,1,0,101.4635
4,chair,m,m,1,0,266.756
4,chair,m,m,1,0,362.7335
4,chair,m,m,1,0,113.8132
4,face,y,y,1,0,191.858
4,face,y,y,1,0,506.527
4,chair,m,m,1,0,224.1866
4,face,y,y,1,1,272.6866
4,face,y,y,1,1,183.3304
4,chair,m,m,1,0,218.088
4,face,y,y,1,0,82.6684
4,chair,m,m,1,1,322.0735
4,chair,m,m,1,1,279.2959
4,chair,m,m,1,0,174.5459
4,chair,m,m,1,0,185.8837
4,face,y,y,1,0,108.4482
4,face,y,y,1,0,105.8294
4,face,y,y,1,0,223.0562
4,face,y,y,1,0,71.6892
4,face,y,y,1,0,77.9289
4,chair,m,m,1,0,245.2298
4,chair,m,m,1,0,277.7993
4,face,y,y,1,0,92.4135
4,face,y,y,1,1,122.3788
4,face,y,y,1,0,79.6488
4,chair,m,y,0,0,111.224
4,chair,m,m,1,1,180.5334
4,face,y,y,1,0,158.4918
4,chair,m,m,1,1,257.8116
4,chair,m,m,1,0,161.7387
4,face,y,y,1,0,205.0373
4,chair,m,m,1,0,302.9364
4,face,y,y,1,0,146.8387
4,face,y,y,1,0,541.9852
4,face,y,y,1,1,288.5285
4,chair,m,m,1,1,231.175
4,face,y,y,1,0,239.6717
