subject_nr,type,correct_response,response,acc,congruency,response_time
2,face,y,None,0,0,3000.02016476
2,chair,m,m,1,0,1127.20039394
2,face,y,y,1,0,185.216036683
2,chair,m,m,1,0,204.598091368
2,chair,m,m,1,0,159.187658515
2,chair,m,m,1,0,99.1445351392
2,face,y,y,1,0,121.21510983
2,chair,m,y,0,1,62.5893897377
2,chair,m,m,1,0,118.697440834
2,face,y,y,1,0,219.881922181
2,chair,m,m,1,0,251.835456584
2,face,y,y,1,0,219.16148829
2,chair,m,m,1,0,277.246791287
2,face,y,y,1,0,139.579024632
2,chair,m,m,1,0,304.361869697
2,face,y,y,1,0,229.474875203
2,chair,m,m,1,0,70.3862075461
2,face,y,y,1,0,148.169969616
2,face,y,m,0,0,128.170138225
2,face,y,y,1,1,237.553267216
2,chair,m,m,1,0,198.817021912
2,chair,m,m,1,0,49.4433960994
2,chair,m,m,1,0,106.211753271
2,chair,m,m,1,1,264.861561183
2,chair,m,m,1,1,168.780978187
2,chair,m,m,1,0,92.1407445567
2,chair,m,m,1,0,90.8828266547
2,chair,m,m,1,0,161.583605339
2,face,y,y,1,1,83.3470515208
2,chair,m,m,1,0,25.4575305153
2,chair,m,m,1,0,42.2841531108
2,face,y,y,1,0,82.2926149704
2,face,y,y,1,1,49.0602645441
2,face,y,y,1,0,16.4636558038
2,face,y,y,1,0,17.9111229954
2,chair,m,y,0,0,0.015398603864
2,face,y,y,1,1,204.78324109
2,face,y,y,1,1,293.901462981
2,face,y,y,1,0,139.926226111
2,face,y,y,1,0,71.8685048632
2,chair,m,m,1,0,135.206925857
2,face,y,y,1,0,99.9525943771
2,face,y,y,1,0,169.930739386
2,face,y,y,1,0,133.337464067
2,face,y,y,1,0,170.037062897
2,chair,m,m,1,0,60.6242367066
2,face,y,y,1,1,52.6987307239
2,face,y,m,0,0,99.1053053876
2,face,y,y,1,0,113.278238161
2,face,y,y,1,0,78.1049325597
2,chair,m,m,1,1,92.5601727213
2,face,y,y,1,1,153.441052593
2,face,y,y,1,0,236.75290728
2,face,y,y,1,0,75.9846937726
2,face,y,y,1,0,50.7398104528
2,chair,m,m,1,1,106.177289796
2,face,y,y,1,0,120.056549495
2,chair,m,m,1,1,36.8763159495
2,chair,m,m,1,0,230.277801515
2,chair,m,m,1,1,151.433736726
2,face,y,y,1,0,50.8252359577
2,face,y,y,1,0,161.578105821
2,face,y,y,1,0,84.2321036034
2,chair,m,m,1,0,107.686351344
2,chair,m,m,1,1,26.343315898
2,face,y,y,1,0,107.776543067
2,face,y,y,1,1,65.1305231731
2,chair,m,y,0,0,87.876802485
2,face,y,y,1,0,109.857185453
2,chair,m,m,1,0,27.8740087524
2,face,y,y,1,0,107.912930544
2,face,y,y,1,0,113.159082422
