subject_nr,type,correct_response,response,acc,congruency,response_time
3,chair,m,None,0,1,3000.0257
3,chair,m,None,0,0,3000.0381
3,face,y,y,1,0,51.5182
3,face,y,y,1,0,458.1571
3,face,y,m,0,0,64.3764
3,face,y,y,1,0,888.0266
3,chair,m,m,1,0,1030.2454
3,chair,m,m,1,0,661.6274
3,face,y,y,1,0,459.7428
3,chair,m,m,1,0,484.3259
3,chair,m,m,1,1,546.0104
3,chair,m,m,1,0,250.3374
3,face,y,y,1,0,257.6268
3,face,y,y,1,0,608.6482
3,face,y,y,1,0,241.866
3,chair,m,m,1,1,314.4281
3,chair,m,m,1,0,327.613
3,face,y,y,1,1,194.871
3,chair,m,m,1,1,293.3277
3,chair,m,m,1,0,275.2886
3,chair,m,m,1,0,154.6696
3,face,y,y,1,0,165.7332
3,face,y,y,1,0,104.6092
3,chair,m,m,1,0,198.5461
3,face,y,y,1,0,183.8745
3,face,y,y,1,1,193.1962
3,face,y,y,1,0,259.0937
3,face,y,y,1,1,74.3279
3,face,y,y,1,0,32.891
3,face,y,y,1,0,49.8218
3,chair,m,m,1,0,249.2918
3,face,y,y,1,0,63.7128
3,face,y,m,0,0,62.4255
3,chair,m,m,1,0,229.8903
3,chair,m,m,1,0,223.0397
3,face,y,y,1,0,135.061
3,chair,m,m,1,0,436.3754
3,chair,m,m,1,1,300.8462
3,chair,m,m,1,0,242.7987
3,face,y,y,1,0,50.6936
3,face,y,y,1,0,273.4191
3,face,y,y,1,0,159.9066
3,face,y,y,1,0,35.3038
3,face,y,y,1,0,84.0121
3,chair,m,m,1,0,170.5071
3,chair,m,m,1,0,694.7666
3,chair,m,m,1,1,236.9546
3,face,y,y,1,0,157.0388
3,face,y,y,1,0,144.2745
3,face,y,y,1,0,83.4926
3,face,y,y,1,0,120.8811
3,face,y,y,1,1,61.6336
3,face,y,y,1,0,140.3171
3,face,y,y,1,0,104.3221
3,face,y,y,1,1,117.118
3,face,y,y,1,0,1.6073
3,chair,m,m,1,0,235.0059
3,face,y,y,1,1,0.0979
3,face,y,y,1,1,40.4198
3,face,y,y,1,1,40.3729
3,chair,m,m,1,0,97.1962
3,chair,m,m,1,0,141.8936
3,chair,m,m,1,0,98.581
3,chair,m,m,1,0,80.6648
3,face,y,y,1,0,86.5632
3,chair,m,m,1,1,44.5859
3,chair,m,m,1,1,92.6907
3,face,y,y,1,0,27.243
3,chair,m,m,1,0,52.7229
3,chair,m,y,0,0,533.6307
3,chair,m,m,1,0,110.156
3,face,y,y,1,0,122.8683

