subject_nr,type,correct_response,response,acc,congruency,response_time
1,face,y,y,1,0,1012.58321194
1,face,y,y,1,1,648.644576082
1,face,y,y,1,0,150.911284727
1,face,y,y,1,0,114.316909516
1,chair,m,m,1,0,160.282424709
1,face,y,y,1,0,340.972010163
1,face,y,y,1,0,552.739243663
1,chair,m,m,1,0,207.778999466
1,face,y,y,1,0,599.691001698
1,chair,m,m,1,0,113.863017876
1,chair,m,m,1,1,336.17058408
1,face,y,y,1,0,107.875167334
1,face,y,y,1,0,145.022791752
1,chair,m,m,1,0,157.831482997
1,chair,m,m,1,0,921.272524574
1,face,y,y,1,0,821.377124987
1,chair,m,m,1,1,118.204319442
1,face,y,y,1,0,251.612543711
1,face,y,y,1,0,1042.81173798
1,chair,m,m,1,0,170.182616275
1,face,y,y,1,1,845.501211123
1,face,y,y,1,0,220.966422639
1,chair,m,m,1,1,157.58730541
1,chair,m,m,1,0,257.605527062
1,face,y,y,1,1,128.795247525
1,chair,m,m,1,0,0.013932062
1,chair,m,m,1,0,40.9558416577
1,face,y,y,1,0,81.0959247174
1,chair,m,m,1,0,248.333744588
1,chair,m,m,1,0,216.963156709
1,face,y,y,1,1,465.50734865
1,face,y,y,1,0,120.044083917
1,face,y,y,1,1,437.12188676
1,face,y,y,1,0,300.488758483
1,face,y,y,1,0,104.990132037
1,face,y,y,1,0,77.6657062233
1,face,y,y,1,1,92.430018005
1,face,y,y,1,1,123.076505726
1,face,y,y,1,0,287.072922918
1,face,y,y,1,0,196.30265265
1,chair,m,m,1,0,110.860293382
1,face,y,y,1,0,212.310216972
1,face,y,y,1,0,142.264611495
1,chair,m,m,1,0,162.837856915
1,chair,m,m,1,1,222.254037799
1,chair,m,m,1,0,191.526890907
1,face,y,y,1,0,40.8392523532
1,chair,m,m,1,1,233.574198966
1,face,y,y,1,0,306.157638261
1,face,y,y,1,0,78.642416629
1,face,y,y,1,0,149.39709031
1,chair,m,m,1,0,0.014298712
1,chair,m,m,1,1,0.015031954
1,chair,m,m,1,0,0.015398604
1,chair,m,m,1,1,0.014665304
1,face,y,m,0,0,0.014665304
1,chair,m,m,1,0,229.283492721
1,chair,m,m,1,0,173.89037594
1,chair,m,m,1,0,305.006410577
1,face,y,y,1,1,85.7217335724
1,face,y,y,1,0,83.7191840401
1,chair,m,m,1,0,122.411066724
1,face,y,y,1,0,247.117989464
1,chair,m,m,1,1,135.760908364
1,chair,m,m,1,0,340.526917658
1,face,y,y,1,0,39.5509038935
1,face,y,y,1,0,127.62385502
1,face,y,y,1,0,309.121133003
1,chair,m,m,1,0,58.8830964989
1,chair,m,m,1,0,291.721463029
1,face,y,y,1,0,49.5530193439
1,chair,m,m,1,0,0.015398546
