block,trial,congruence,label,correct,rt
0,0,False,Ich,False,1.97635241796
0,1,False,Stuhl,True,2.48781595286
0,2,True,Stuhl,False,1.82720514736
0,3,True,Ich,True,1.22028420609
0,4,True,Stuhl,False,1.22470622195
0,5,True,Stuhl,True,2.00346256432
0,6,False,Stuhl,True,2.07098297984
0,7,True,Ich,True,2.01133195416
1,0,False,Ich,True,2.56516694732
1,1,True,Ich,True,1.71547771199
1,2,True,Ich,True,1.21937976824
1,3,False,Ich,False,2.05756913533
1,4,True,Ich,True,2.18156211171
1,5,True,Ich,True,1.13716541848
1,6,True,Ich,True,0.929698530235
1,7,True,Ich,True,0.595387407695
2,0,False,Ich,True,1.76980392623
2,1,True,Ich,True,1.41032003472
2,2,True,Ich,True,0.956815656042
2,3,True,Stuhl,False,2.9000840392
2,4,True,Stuhl,True,1.83103679458
2,5,True,Stuhl,True,0.819674049271
2,6,False,Ich,True,2.42096801545
2,7,True,Stuhl,False,1.76163319394
3,0,False,Stuhl,False,-999
3,1,True,Stuhl,False,2.8317909718
3,2,True,Ich,True,2.24798307894
3,3,True,Ich,True,2.47813481337
3,4,True,Ich,True,0.707167803776
3,5,False,Ich,True,2.22580731241
3,6,True,Ich,True,0.894483339274
3,7,True,Ich,True,0.50135829905
