block,trial,congruence,label,correct,rt
0,0,False,Stuhl,True,1.66613185906
0,1,True,Ich,True,0.797477755463
0,2,False,Ich,True,1.09830989584
0,3,False,Stuhl,True,1.1421502959
0,4,False,Stuhl,True,0.534528548946
0,5,False,Ich,True,1.80198557582
0,6,True,Stuhl,True,0.908046623576
0,7,True,Stuhl,True,1.45045687864
1,0,True,Stuhl,True,1.10896198195
1,1,False,Ich,True,0.707693716162
1,2,True,Stuhl,True,1.41636289516
1,3,False,Stuhl,False,0.583451126469
1,4,True,Stuhl,True,0.755656842375
1,5,False,Ich,True,1.25931256975
1,6,True,Ich,True,1.23623154429
1,7,False,Ich,True,1.82573907939
2,0,False,Ich,True,1.85086258256
2,1,False,Ich,True,0.6700082561
2,2,False,Stuhl,True,1.39122953871
2,3,False,Stuhl,True,1.33407752053
2,4,True,Stuhl,True,0.973124276614
2,5,False,Stuhl,True,2.05703295919
2,6,True,Stuhl,False,1.13450752886
2,7,False,Stuhl,False,-999
3,0,True,Ich,True,0.738423667033
3,1,True,Ich,True,0.49219445046
3,2,False,Stuhl,True,0.875703628524
3,3,True,Ich,True,0.637865608674
3,4,False,Stuhl,True,0.963879960706
3,5,False,Stuhl,True,1.23926590674
3,6,False,Ich,True,0.895443611895
3,7,False,Stuhl,True,1.44616952271
